,id,value_id,value_name,attribute_group_id,source,name,value_struct,values,attribute_group_name,value_struct.number,value_struct.unit
0,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'id': '2230581', 'name': 'Usado', 'struct': None, 'source': 1}]",,,
1,HAS_TELEPHONE_LINE,242084,No,CARACTERISTICAS,4709975701260268,Línea telefónica,,"[{'id': '242084', 'name': 'No', 'struct': None, 'source': 4709975701260268}]",Características adicionales,,
2,HAS_AIR_CONDITIONING,242084,No,COMOYAMEN,4709975701260268,Aire acondicionado,,"[{'name': 'No', 'struct': None, 'source': 4709975701260268, 'id': '242084'}]",Comodidades y amenities,,
3,BEDROOMS,,1,FIND,4709975701260268,Dormitorios,,"[{'source': 4709975701260268, 'id': None, 'name': '1', 'struct': None}]",Ficha técnica,,
4,COVERED_AREA,,39 m²,FIND,4709975701260268,Superficie cubierta,,"[{'id': None, 'name': '39 m²', 'struct': {'number': 39, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,39.0,m²
5,FULL_BATHROOMS,,1,FIND,4709975701260268,Baños,,"[{'id': None, 'name': '1', 'struct': None, 'source': 4709975701260268}]",Ficha técnica,,
6,ROOMS,,2,FIND,4709975701260268,Ambientes,,"[{'source': 4709975701260268, 'id': None, 'name': '2', 'struct': None}]",Ficha técnica,,
7,TOTAL_AREA,,42 m²,FIND,4709975701260268,Superficie total,,"[{'id': None, 'name': '42 m²', 'struct': {'number': 42, 'unit': 'm²'}, 'source': 4709975701260268}]",Ficha técnica,42.0,m²
8,OPERATION,242073,Alquiler,MAIN,1,Operación,,"[{'source': 1, 'id': '242073', 'name': 'Alquiler', 'struct': None}]",Principales,,
9,PROPERTY_TYPE,242062,Departamento,MAIN,1,Inmueble,,"[{'struct': None, 'source': 1, 'id': '242062', 'name': 'Departamento'}]",Principales,,
10,ITEM_CONDITION,2230581,Usado,,1,Condición del ítem,,"[{'source': 1, 'id': '2230581', 'name': 'Usado', 'struct': None}]",,,
11,HAS_AIR_CONDITIONING,242085,Sí,COMOYAMEN,6316276763983939,Aire acondicionado,,"[{'id': '242085', 'name': 'Sí', 'struct': None, 'source': 6316276763983939}]",Comodidades y amenities,,
12,BEDROOMS,,1,FIND,6316276763983939,Dormitorios,,"[{'id': None, 'name': '1', 'struct': None, 'source': 6316276763983939}]",Ficha técnica,,
13,COVERED_AREA,,32 m²,FIND,6316276763983939,Superficie cubierta,,"[{'id': None, 'name': '32 m²', 'struct': {'unit': 'm²', 'number': 32}, 'source': 6316276763983939}]",Ficha técnica,32.0,m²
14,FULL_BATHROOMS,,1,FIND,6316276763983939,Baños,,"[{'struct': None, 'source': 6316276763983939, 'id': None, 'name': '1'}]",Ficha técnica,,
15,ROOMS,,2,FIND,6316276763983939,Ambientes,,"[{'name': '2', 'struct': None, 'source': 6316276763983939, 'id': None}]",Ficha técnica,,
