,id
0,ITEM_CONDITION
1,HAS_TELEPHONE_LINE
2,HAS_AIR_CONDITIONING
3,BEDROOMS
4,COVERED_AREA
5,FULL_BATHROOMS
6,ROOMS
7,TOTAL_AREA
8,OPERATION
9,PROPERTY_TYPE
10,ITEM_CONDITION
11,HAS_AIR_CONDITIONING
12,BEDROOMS
13,COVERED_AREA
14,FULL_BATHROOMS
15,ROOMS
16,TOTAL_AREA
17,OPERATION
18,PROPERTY_TYPE
19,ITEM_CONDITION
20,HAS_TELEPHONE_LINE
21,HAS_AIR_CONDITIONING
22,BEDROOMS
23,COVERED_AREA
24,FULL_BATHROOMS
25,ROOMS
26,TOTAL_AREA
27,OPERATION
28,PROPERTY_TYPE
29,ITEM_CONDITION
30,BEDROOMS
31,COVERED_AREA
32,FULL_BATHROOMS
33,ROOMS
34,TOTAL_AREA
35,OPERATION
36,PROPERTY_TYPE
37,HAS_AIR_CONDITIONING
38,BEDROOMS
39,COVERED_AREA
40,FULL_BATHROOMS
41,ROOMS
42,TOTAL_AREA
43,OPERATION
44,PROPERTY_TYPE
45,ITEM_CONDITION
46,HAS_TELEPHONE_LINE
47,HAS_AIR_CONDITIONING
48,BEDROOMS
49,COVERED_AREA
50,FULL_BATHROOMS
51,ROOMS
52,TOTAL_AREA
53,OPERATION
54,PROPERTY_TYPE
55,ITEM_CONDITION
56,WITH_VIRTUAL_TOUR
57,ITEM_CONDITION
58,BEDROOMS
59,COVERED_AREA
60,FULL_BATHROOMS
61,ROOMS
62,TOTAL_AREA
63,OPERATION
64,PROPERTY_TYPE
65,ITEM_CONDITION
66,HAS_TELEPHONE_LINE
67,HAS_AIR_CONDITIONING
68,BEDROOMS
69,COVERED_AREA
70,FULL_BATHROOMS
71,ROOMS
72,TOTAL_AREA
73,OPERATION
74,PROPERTY_TYPE
75,ITEM_CONDITION
76,HAS_TELEPHONE_LINE
77,HAS_AIR_CONDITIONING
78,BEDROOMS
79,COVERED_AREA
80,FULL_BATHROOMS
81,ROOMS
82,TOTAL_AREA
83,OPERATION
84,PROPERTY_TYPE
85,BEDROOMS
86,COVERED_AREA
87,FULL_BATHROOMS
88,ROOMS
89,TOTAL_AREA
90,OPERATION
91,PROPERTY_TYPE
92,ITEM_CONDITION
93,BEDROOMS
94,COVERED_AREA
95,FULL_BATHROOMS
96,ROOMS
97,TOTAL_AREA
98,OPERATION
99,PROPERTY_TYPE
100,ITEM_CONDITION
101,HAS_AIR_CONDITIONING
102,BEDROOMS
103,COVERED_AREA
104,FULL_BATHROOMS
105,ROOMS
106,TOTAL_AREA
107,OPERATION
108,PROPERTY_TYPE
109,HAS_TELEPHONE_LINE
110,HAS_AIR_CONDITIONING
111,BEDROOMS
112,COVERED_AREA
113,FULL_BATHROOMS
114,ROOMS
115,TOTAL_AREA
116,OPERATION
117,PROPERTY_TYPE
118,ITEM_CONDITION
119,ITEM_CONDITION
120,HAS_TELEPHONE_LINE
121,HAS_AIR_CONDITIONING
122,BEDROOMS
123,COVERED_AREA
124,FULL_BATHROOMS
125,ROOMS
126,TOTAL_AREA
127,OPERATION
128,PROPERTY_TYPE
129,ITEM_CONDITION
130,HAS_AIR_CONDITIONING
131,BEDROOMS
132,COVERED_AREA
133,FULL_BATHROOMS
134,ROOMS
135,TOTAL_AREA
136,OPERATION
137,PROPERTY_TYPE
138,HAS_TELEPHONE_LINE
139,HAS_AIR_CONDITIONING
140,BEDROOMS
141,COVERED_AREA
142,FULL_BATHROOMS
143,ROOMS
144,TOTAL_AREA
145,OPERATION
146,PROPERTY_TYPE
147,ITEM_CONDITION
148,WITH_VIRTUAL_TOUR
149,BEDROOMS
150,COVERED_AREA
151,FULL_BATHROOMS
152,ROOMS
153,TOTAL_AREA
154,OPERATION
155,PROPERTY_TYPE
156,ITEM_CONDITION
157,ITEM_CONDITION
158,HAS_AIR_CONDITIONING
159,BEDROOMS
160,COVERED_AREA
161,FULL_BATHROOMS
162,ROOMS
163,TOTAL_AREA
164,OPERATION
165,PROPERTY_TYPE
166,HAS_TELEPHONE_LINE
167,HAS_AIR_CONDITIONING
168,BEDROOMS
169,COVERED_AREA
170,FULL_BATHROOMS
171,ROOMS
172,TOTAL_AREA
173,OPERATION
174,PROPERTY_TYPE
175,ITEM_CONDITION
176,WITH_VIRTUAL_TOUR
177,HAS_TELEPHONE_LINE
178,HAS_AIR_CONDITIONING
179,BEDROOMS
180,COVERED_AREA
181,FULL_BATHROOMS
182,ROOMS
183,TOTAL_AREA
184,OPERATION
185,PROPERTY_TYPE
186,ITEM_CONDITION
187,ITEM_CONDITION
188,HAS_AIR_CONDITIONING
189,BEDROOMS
190,COVERED_AREA
191,FULL_BATHROOMS
192,ROOMS
193,TOTAL_AREA
194,OPERATION
195,PROPERTY_TYPE
196,HAS_TELEPHONE_LINE
197,HAS_AIR_CONDITIONING
198,BEDROOMS
199,COVERED_AREA
200,FULL_BATHROOMS
201,ROOMS
202,TOTAL_AREA
203,OPERATION
204,PROPERTY_TYPE
205,ITEM_CONDITION
206,BEDROOMS
207,COVERED_AREA
208,FULL_BATHROOMS
209,ROOMS
210,TOTAL_AREA
211,OPERATION
212,PROPERTY_TYPE
213,ITEM_CONDITION
214,ITEM_CONDITION
215,HAS_TELEPHONE_LINE
216,HAS_AIR_CONDITIONING
217,BEDROOMS
218,COVERED_AREA
219,FULL_BATHROOMS
220,ROOMS
221,TOTAL_AREA
222,OPERATION
223,PROPERTY_TYPE
224,ITEM_CONDITION
225,HAS_TELEPHONE_LINE
226,HAS_AIR_CONDITIONING
227,BEDROOMS
228,COVERED_AREA
229,FULL_BATHROOMS
